ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
15,Arginyl-Isoleucine,,C12 H25 N5 O3,(M+H)+,287.1957,,2.717,0.009,28.025,0.023,170.7,0.14,288.2038,0.0004,0.0714656,1.2,1,4,13,100,x,FALSE,5.53E+07,0.001,6859974,1.26E+07,0.001,3.26E+07,4.13E+07,3.72E+07,1.53E+07,1.62E+07,0.001,4.00E+07,2.12E+07,3.74E+07,0.001,1.35E+07,4.32E+07
16,Licoricesaponin B2,118536-86-0,C42 H64 O15,(M+NH4)+,808.4245,,2.709,0.005,45.451,0.03,269.66,0.18,826.4603,0.001,0.0709504,0.92,1,5,15,100,x,FALSE,3.96E+07,3202356,4964889,9785101,2.30E+07,0.001,3.96E+07,4.16E+07,0.001,1.62E+07,5.32E+07,3.92E+07,1.97E+07,4.28E+07,1.32E+07,1.70E+07,4.68E+07
17,Samandenone,6400-81-3,C22 H33 N O2,(M+H)+,343.2511,,1.483,0.003,30.527,0.03,184.73,0.18,344.2551,0.0006,0.0648907,0.4,1,4,17,100,x,FALSE,1157987,3135716,8069567,1.88E+07,3.79E+07,2.60E+07,3.96E+07,3.28E+07,5.07E+07,2.28E+07,3.71E+07,1.29E+07,4.78E+07,1.77E+07,4.00E+07,2.19E+07,4.41E+07
18,Histidinyl-Phenylalanine,,C15 H18 N4 O3,(M+NH4)+,302.1379,,2.245,0.004,28.471,0.026,172.67,0.16,320.173,0.0006,0.0640676,0.26,1,4,17,100,x,FALSE,4200627,9142110,1.74E+07,2.58E+07,2.75E+07,2.81E+07,2.67E+07,2.84E+07,3.23E+07,2.63E+07,2.76E+07,2.07E+07,2.98E+07,2.24E+07,3.02E+07,2.47E+07,2.66E+07
19,Arginyl-Isoleucine,,C12 H25 N5 O3,(M+H)+,287.1957,,2.715,0.009,28.613,0.025,174.32,0.15,288.2038,0.0004,0.0636744,0.99,1,3,15,100,x,FALSE,4.12E+07,2873411,5042162,9647809,0.001,3.04E+07,3.32E+07,2.98E+07,1.31E+07,1.30E+07,4.80E+07,3.43E+07,1.68E+07,2.98E+07,0.001,9741595,3.74E+07
20,cis-5-Tetradecenoylcarnitine,835598-21-5,C21 H40 N O4,(M+Na)+,370.2957,,0.239,0.004,34.341,0.035,207.02,0.21,393.2874,0.0008,0.0602155,0.88,1,4,11,100,x,FALSE,5205087,1.02E+07,1.73E+07,2.64E+07,3.81E+07,0.001,6.51E+07,0.001,5.02E+07,0.001,6.77E+07,0.001,6.23E+07,0.001,6.56E+07,0.001,6.99E+07
21,Quillaic acid 3-[rhamnosyl-(1-3)-[galactosyl-(1-2)]-glucuronide],210426-59-8,C48 H74 O20,(M+NH4)+,970.4773,,1.467,0.008,51.103,0.054,302.57,0.32,988.5144,0.0014,0.0597403,0.58,1,6,16,100,x,FALSE,749989.7,1882925,6111777,1.75E+07,5.41E+07,2.33E+07,4.46E+07,3.37E+07,3.77E+07,2.19E+07,5.11E+07,1.02E+07,0.001,1.45E+07,3.81E+07,1.84E+07,5.15E+07
22,Isopentyl beta-D-glucoside,,C11 H22 O6,(M+H)+,250.1416,,1.034,0.023,26.702,0.116,163.63,0.72,251.1509,0.0005,0.0573801,0.77,1,4,14,100,x,FALSE,0.001,3787173,0.001,1.91E+07,3846117,3.63E+07,4.98E+07,1.86E+07,4.27E+07,3.03E+07,0.001,5023328,6.44E+07,2.34E+07,1.55E+07,2.64E+07,6.62E+07
23,L-Valine,72-18-4,C5 H11 N O2,(M+H)+,117.079,120.8,1.549,0.003,18.731,0.051,120.61,0.33,118.0869,0.0007,0.0559091,2.23,1,2,3,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.86E+08,0.001,1.69E+08,0.001,1.82E+08
24,Spicatin,53142-46-4,C27 H32 O10,(M+NH4)+,516.1995,,2.801,0.006,36.155,0.024,216.12,0.14,534.2359,0.0008,0.0534795,0.82,1,3,16,87.9,,FALSE,2.29E+07,2.61E+07,2.66E+07,2.94E+07,3.23E+07,0.001,1.37E+07,1.32E+07,4263296,1.54E+07,1.84E+07,4839161,2.44E+07,1.44E+07,7198542,1.49E+07,1.77E+07
